razao,endereco,bairro,cidade,endereço,longitude,latitude
POSTO DE COMBUSTIVEL LUBRIMIL LTDA,"AVENIDA ABILIO MACHADO, 845",Dom Bosco,Belo Horizonte,"Av. Abílio Machado, 845 - Dom Bosco, Belo Horizonte - MG, 30830-093, Brazil",-43.9987885,-19.9085095
POSTO AVENIDA LTDA,"AVENIDA AMAZONAS, 9248",Glalija,Belo Horizonte,"Av. Amazonas, 9248 - Camargos, Belo Horizonte - MG, 30520-000, Brazil",-44.0088658,-19.9476346
POSTO PARADA OBRIGATORIA LTDA,"AVENIDA DOS ANDRADAS, 3910",Pompéia,Belo Horizonte,"Av. dos Andradas, 3910 - Centro, Belo Horizonte - MG, 30120-010, Brazil",-43.9080336,-19.9124091
COMERCIAL MARCESOP LTDA,"AVENIDA AMAZONAS, 5234",Nova Suica,Belo Horizonte,"Av. Amazonas, 5234 - Centro, Belo Horizonte - MG, 30180-001, Brazil",-43.9789861,-19.9296805
POSTO FENIX ESTORIL LTDA,"AVENIDA AMAZONAS, 4808",Nova Suissa,Belo Horizonte,"Av. Amazonas, 4808 - Centro, Belo Horizonte - MG, 30180-001, Brazil",-43.9772203,-19.9292779
POSTO CATALAO LTDA,"AVENIDA PRESIDENTE CARLOS LUZ, 102",Pedro Ii,Belo Horizonte,"Av. Presidente Carlos Luz, 102 - Alto Caiçaras, Belo Horizonte - MG, 31250-810, Brazil",-43.9630049,-19.9073134
EXXEL REVENDEDORA DE DERIVADOS DE PETROLEO LTDA,"AVENIDA VER CICERO ILDEFONSO, 539",Joao Pinheiro,Belo Horizonte,"Av. Vereador Cicero Idelfonso, 539 - Califórnia, Belo Horizonte - MG, 30530-000, Brazil",-43.9974985,-19.9262594
POSTO JOAO PAULO II LTDA - ME,"AV JOÃO XXIII, 540",Alípio de Melo,Belo Horizonte,"Av. João XXIII, 540 - Alípio de Melo, Belo Horizonte - MG, 30820-660, Brazil",-44.0005823,-19.8995829
ECO EMPREENDIMENTOS COMERCIAIS LTDA,"RUA TUPIS, 1774",Barro Preto,Belo Horizonte,"Rua dos Tupis, 1774 - Barro Preto, Belo Horizonte - MG, 30190-062, Brazil",-43.9536788,-19.9178246
POSTO ITAPOA LTDA,"AVENIDA AMAZONAS, 2994",Barroca,Belo Horizonte,"Av. Amazonas, 2994 - Centro, Belo Horizonte - MG, 30410-000, Brazil",-43.9602463,-19.9296763
