razao,endereco,bairro,bandeira,venda,compra,modalidade,fornecedor,data,combustivel,cidade,ix_semana
RODRIGUES SILVA DERIVADOS DE PETRÓLEO LTDA,"RUA SANTA MARIA, 43",Pedra Azul,IPIRANGA,3.459,-,-,-,19/03/2020,diesel,Contagem,1083
EMPREENDIMENTOS BRITO LIMA LTDA,"AVENIDA SEVERINO BALLESTEROS, 256",Guanabara,PETROBRAS DISTRIBUIDORA S.A.,3.499,-,-,-,19/03/2020,diesel,Contagem,1083
POSTO LUIZA LTDA,"RODOVIA BR-040, 318 KM 522 E KM 318",Morada Nova,PETROBRAS DISTRIBUIDORA S.A.,3.589,3068,CIF,-,19/03/2020,diesel,Contagem,1083
CARVALHO ENGENHARIA LTDA,"AVENIDA SEVERINO BALLESTEROS RODRIGUES, 1111",Fazenda do Confisco,IPIRANGA,3.598,-,-,-,19/03/2020,diesel,Contagem,1083
CARVALHO ENGENHARIA LTDA,"AVENIDA CEMIG, 500",Nacional,IPIRANGA,3.689,-,-,-,19/03/2020,diesel,Contagem,1083
ALMADA & CIA LIMITADA,"RUA JACUI, 4040",Ipiranga,BRANCA,4.499,-,-,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO FLORAMAR LTDA,"AVENIDA CRISTIANO MACHADO, 10130",Floramar,BRANCA,4.499,-,-,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO SALAZAR LTDA,"RUA MINISTROOLIVEIRA SALAZAR, 770",Santa Monica,PETROBRAS DISTRIBUIDORA S.A.,4.52,4303,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
AUTO POSTO MACPETRO LTDA,"RUA DOUTOR ALVARO CAMARGOS, 2216",Santa Monica,BRANCA,4.522,4187,CIF,ALESAT,10/03/2020,gasolina,Belo Horizonte,1082
COMERCIAL DE PETROLEO VILARINHO LTDA,"AVENIDA VILARINHO, 1691",Venda Nova,BRANCA,4.529,-,-,-,10/03/2020,gasolina,Belo Horizonte,1082
DGET COMBUSTIVEIS EIRELI,"RUA DOS ASTECAS, 2930",Santa Monica,BRANCA,4.529,4212,CIF,ROYAL FIC,10/03/2020,gasolina,Belo Horizonte,1082
AUTO POSTO VALE LTDA,"AVENIDA VILARINHO, 1146",Venda Nova,BRANCA,4.529,4155,CIF,RIO BRANCO,10/03/2020,gasolina,Belo Horizonte,1082
AUTO POSTO RIO BRANCO LTDA,"AVENIDA BERNARDA SILVESTRE, 115",Rio Brancoi,RAIZEN,4.535,4273,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO GABI LTDA,"AVENIDA VILARINHO, 2300",Venda Nova,PETROBRAS DISTRIBUIDORA S.A.,4.557,-,-,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO CENTER NORTE LTDA,"AVENIDA VILARINHO, 5360",Venda Nova,PETROBRAS DISTRIBUIDORA S.A.,4.557,4242,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO ANTUNES LTDA,"AVENIDA PORTUGAL, 2603",Santa Amelia,PETROBRAS DISTRIBUIDORA S.A.,4.567,4249,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO CHAVES LTDA,"AVENIDA PORTUGAL, 2061",Santa Amelia,PETROBRAS DISTRIBUIDORA S.A.,4.567,4284,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO TUNEL LTDA,"AVENIDA CRISTIANO MACHADO, 71",Floresta,IPIRANGA,4.575,4387,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
