data_inicial,data_final,preco_medio_revenda,desvio_padrao_revenda,preco_minimo_revenda,preco_maximo_revenda,regiao,estado,abrangencia
2010-01-10,2010-01-16,2.584,0.135,2.119,3.3,,,nacional
2010-01-17,2010-01-23,2.593,0.137,2.199,3.3,,,nacional
2010-01-24,2010-01-30,2.592,0.139,2.249,3.3,,,nacional
2010-01-31,2010-02-06,2.6,0.144,2.199,3.49,,,nacional
2010-02-07,2010-02-13,2.622,0.142,2.04,3.33,,,nacional
2010-02-14,2010-02-20,2.618,0.143,2.179,3.379,,,nacional
2010-02-21,2010-02-27,2.603,0.147,2.199,3.33,,,nacional
2010-02-28,2010-03-06,2.596,0.151,2.199,3.33,,,nacional
2010-03-07,2010-03-13,2.585,0.157,2.16,3.33,,,nacional
2010-03-14,2010-03-20,2.576,0.16,2.16,3.499,,,nacional
2010-03-21,2010-03-27,2.571,0.163,2.16,3.33,,,nacional
2010-03-28,2010-04-03,2.56,0.167,2.115,3.33,,,nacional
2010-04-04,2010-04-10,2.553,0.167,2.118,3.33,,,nacional
2010-04-11,2010-04-17,2.55,0.167,2.16,3.33,,,nacional
2010-04-18,2010-04-24,2.56,0.164,2.117,3.33,,,nacional
2010-04-25,2010-05-01,2.556,0.164,2.159,3.33,,,nacional
2010-05-02,2010-05-08,2.553,0.164,2.149,3.33,,,nacional
2010-05-09,2010-05-15,2.557,0.164,2.115,3.33,,,nacional
2010-05-16,2010-05-22,2.549,0.164,2.131,3.33,,,nacional
2010-05-23,2010-05-29,2.542,0.166,2.159,3.39,,,nacional
2010-05-30,2010-06-05,2.541,0.168,2.17,3.365,,,nacional
2010-06-06,2010-06-12,2.534,0.169,2.13,3.5,,,nacional
2010-06-13,2010-06-19,2.532,0.171,2.09,3.35,,,nacional
2010-06-20,2010-06-26,2.533,0.173,2.1,3.35,,,nacional
2010-06-27,2010-07-03,2.529,0.171,2.11,3.35,,,nacional
2010-07-04,2010-07-10,2.53,0.17,2.1,3.35,,,nacional
2010-07-11,2010-07-17,2.529,0.171,2.1,3.35,,,nacional
2010-07-18,2010-07-24,2.535,0.168,2.089,3.35,,,nacional
2010-07-25,2010-07-31,2.54,0.163,1.899,3.35,,,nacional
2010-08-01,2010-08-07,2.542,0.161,2.089,3.5,,,nacional
2010-08-08,2010-08-14,2.539,0.161,2.089,3.35,,,nacional
2010-08-15,2010-08-21,2.542,0.162,2.089,3.33,,,nacional
2010-08-22,2010-08-28,2.545,0.161,2.089,3.33,,,nacional
2010-08-29,2010-09-04,2.545,0.161,2.099,3.33,,,nacional
2010-09-05,2010-09-11,2.548,0.159,2.09,3.47,,,nacional
2010-09-12,2010-09-18,2.545,0.157,2.12,3.39,,,nacional
2010-09-19,2010-09-25,2.544,0.159,2.119,3.47,,,nacional
2010-09-26,2010-10-02,2.541,0.16,2.112,3.33,,,nacional
2010-10-03,2010-10-09,2.547,0.157,2.129,3.33,,,nacional
2010-10-10,2010-10-16,2.575,0.152,2.149,3.33,,,nacional
2010-10-17,2010-10-23,2.58,0.152,2.149,3.33,,,nacional
2010-10-24,2010-10-30,2.586,0.152,2.179,3.39,,,nacional
2010-10-31,2010-11-06,2.586,0.154,2.149,3.339,,,nacional
2010-11-07,2010-11-13,2.585,0.154,2.149,3.39,,,nacional
2010-11-14,2010-11-20,2.592,0.151,2.179,3.39,,,nacional
2010-11-21,2010-11-27,2.592,0.152,2.197,3.39,,,nacional
2010-11-28,2010-12-04,2.593,0.15,2.149,3.33,,,nacional
2010-12-05,2010-12-11,2.597,0.149,2.179,3.33,,,nacional
2010-12-12,2010-12-18,2.601,0.148,2.179,3.33,,,nacional
2010-12-19,2010-12-25,2.601,0.149,2.179,3.33,,,nacional
2010-12-26,2011-01-01,2.609,0.147,2.199,3.33,,,nacional
2011-01-02,2011-01-08,2.61,0.145,2.199,3.33,,,nacional
2011-01-09,2011-01-15,2.61,0.147,2.179,3.34,,,nacional
2011-01-16,2011-01-22,2.615,0.147,2.179,3.33,,,nacional
2011-01-23,2011-01-29,2.613,0.148,2.199,3.33,,,nacional
2011-01-30,2011-02-05,2.617,0.146,2.149,3.33,,,nacional
2011-02-06,2011-02-12,2.62,0.146,2.179,3.33,,,nacional
2011-02-13,2011-02-19,2.62,0.146,2.179,3.39,,,nacional
2011-02-20,2011-02-26,2.628,0.145,2.189,3.39,,,nacional
2011-02-27,2011-03-05,2.635,0.145,2.199,3.39,,,nacional
2011-03-06,2011-03-12,2.651,0.147,2.199,3.39,,,nacional
2011-03-13,2011-03-19,2.666,0.147,2.229,3.39,,,nacional
2011-03-20,2011-03-26,2.685,0.141,2.019,3.39,,,nacional
2011-03-27,2011-04-02,2.713,0.139,2.329,3.5,,,nacional
2011-04-03,2011-04-09,2.78,0.139,2.349,3.54,,,nacional
2011-04-10,2011-04-16,2.806,0.142,2.329,3.559,,,nacional
2011-04-17,2011-04-23,2.829,0.138,2.37,3.559,,,nacional
2011-04-24,2011-04-30,2.879,0.148,2.35,3.5,,,nacional
2011-05-01,2011-05-07,2.901,0.143,2.45,3.56,,,nacional
2011-05-08,2011-05-14,2.883,0.148,2.379,3.5,,,nacional
2011-05-15,2011-05-21,2.836,0.145,2.42,3.5,,,nacional
2011-05-22,2011-05-28,2.794,0.147,2.399,3.619,,,nacional
2011-05-29,2011-06-04,2.766,0.152,2.299,3.619,,,nacional
