razao,endereco,Description,geometry,longitude,latitude,data,venda,quantile
POSTO MARIO WERNECK LIMITADA,"AVENIDA CRISTIANO MACHADO, 9292","endereco: AVENIDA CRISTIANO MACHADO, 9292<br>bairro: Dona Clara<br>cidade: Belo Horizonte<br>endereço: Av. Cristiano Machado, 9292 - Minaslandia, Belo Horizonte - MG, 31810-280, Brazil<br>longitude: -43.9338041<br>latitude: -19.8514824",POINT Z (-43.9338041 -19.8514824 0),-19.8514824,-43.9338041,2020-11-02,4.697,"(4.639, 4.778]"
POSTO MARTE LTDA,"RUA JACUI, 1712","endereco: RUA JACUI, 1712<br>bairro: Graca<br>cidade: Belo Horizonte<br>endereço: R. Pará de Minas, 788 - Padre Eustáquio, Belo Horizonte - MG, 30730-440, Brazil<br>longitude: -43.9889773<br>latitude: -19.914019",POINT Z (-43.9889773 -19.914019 0),-19.914019,-43.9889773,2020-07-01,4.599,"(4.498, 4.639]"
POSTO MAURITANIA LTDA,"RUA DO URUGUAI, 86","endereco: RUA DO URUGUAI, 86<br>bairro: Sion<br>cidade: Belo Horizonte<br>endereço: R. Grão Mogol, 953 - Carmo, Belo Horizonte - MG, 30315-600, Brazil<br>longitude: -43.9341405<br>latitude: -19.9488886",POINT Z (-43.9341405 -19.9488886 0),-19.9488886,-43.9341405,2020-03-02,4.857,"(4.778, 4.918]"
POSTO MINAS SHOPPING LTDA,"AVENIDA CRISTIANO MACHADO, 3400","endereco: AVENIDA CRISTIANO MACHADO, 3400<br>bairro: Uniao<br>cidade: Belo Horizonte<br>endereço: Av. Cristiano Machado, 3400 - Vila Suzana, Belo Horizonte - MG, 31160-342, Brazil<br>longitude: -43.9286466<br>latitude: -19.8774541",POINT Z (-43.9286466 -19.8774541 0),-19.8774541,-43.9286466,2020-11-02,4.697,"(4.639, 4.778]"
POSTO MIRAGEM LTDA,"AVENIDA AMINTAS JACQUES MORAIS, 2065","endereco: AVENIDA AMINTAS JACQUES MORAIS, 2065<br>bairro: Patrocinio<br>cidade: Belo Horizonte<br>endereço: R. Pouso Alegre, 1500 - Floresta, Belo Horizonte - MG, 31015-184, Brazil<br>longitude: -43.9252448<br>latitude: -19.9123999",POINT Z (-43.9252448 -19.9123999 0),-19.9123999,-43.9252448,2020-06-01,4.699,"(4.639, 4.778]"
POSTO MONTE SANTO LTDA,"AVENIDA DOMPEDRO II, 3038","endereco: AVENIDA DOMPEDRO II, 3038<br>bairro: Caicara<br>cidade: Belo Horizonte<br>endereço: Av. Pres. Tancredo Neves, Belo Horizonte - MG, Brazil<br>longitude: -43.9937859<br>latitude: -19.8872874",POINT Z (-43.9937859 -19.8872874 0),-19.8872874,-43.9937859,2020-02-19,4.799,"(4.778, 4.918]"
POSTO NIGHT AND DAY LTDA,"AVENIDA BARÃO HOMEM DE MELO, 400","endereco: AVENIDA BARÃO HOMEM DE MELO, 400<br>bairro: Jardim América<br>cidade: Belo Horizonte<br>endereço: Av. Brg. Eduardo Gomes, 1980 - Glória, Belo Horizonte - MG, 30870-100, Brazil<br>longitude: -44.0074783<br>latitude: -19.8992777",POINT Z (-44.0074783 -19.8992777 0),-19.8992777,-44.0074783,2020-03-02,4.595,"(4.498, 4.639]"
POSTO NORTE SUL LTDA,"AVENIDA OLIMPIO GARCIA, 1100","endereco: AVENIDA OLIMPIO GARCIA, 1100<br>bairro: Cid Jd Eldorado<br>cidade: Contagem<br>endereço: Av. do Contorno, 1550 - Santa Efigênia, Belo Horizonte - MG, 30110-002, Brazil<br>longitude: -43.9289144<br>latitude: -19.9139117",POINT Z (-43.9289144 -19.9139117 0),-19.9139117,-43.9289144,2020-02-13,4.697,"(4.639, 4.778]"
POSTO NOVA CONTAGEM LTDA,"RUA TIRADENTES, 1941","endereco: RUA TIRADENTES, 1941<br>bairro: Industrial Santa Rita<br>cidade: Contagem<br>endereço: R. Tiradentes, 1941 - Industrial, Contagem - MG, 32230-020, Brazil<br>longitude: -44.0398749<br>latitude: -19.9719829",POINT Z (-44.0398749 -19.9719829 0),-19.9719829,-44.0398749,2020-11-03,4.66,"(4.639, 4.778]"
POSTO OCEANO LTDA,"AVENIDA DO CONTORNO, 10325","endereco: AVENIDA DO CONTORNO, 10325<br>bairro: Barro Preto<br>cidade: Belo Horizonte<br>endereço: Av. do Contorno, 10325 - Santa Efigênia, Belo Horizonte - MG, 30110-071, Brazil<br>longitude: -43.9553752<br>latitude: -19.9176637",POINT Z (-43.9553752 -19.9176637 0),-19.9176637,-43.9553752,2020-03-18,4.597,"(4.498, 4.639]"
